Row, Site, Dept, Chassis, Slot, PortGroup, PortIdx, Connection, Name, Status, Firmware, OwnershipState, OwnerHostname, OwnerUserId, OwnerTimestamp, Notes, Last Scan
84, CHN, TBD, 10.61.37.10, 7, 2, 4,TBD, PhysicalPortGroup 2198, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
85, CHN, TBD, 10.61.37.10, 7, 3, 5,TBD, PhysicalPortGroup 2199, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
86, CHN, TBD, 10.61.37.10, 7, 3, 6,TBD, PhysicalPortGroup 2199, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
87, CHN, TBD, 10.61.37.10, 7, 4, 7,TBD, PhysicalPortGroup 2200, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
88, CHN, TBD, 10.61.37.10, 7, 4, 8,TBD, PhysicalPortGroup 2200, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
89, CHN, TBD, 10.61.37.10, 7, 5, 9,TBD, PhysicalPortGroup 2201, DOWN, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
90, CHN, TBD, 10.61.37.10, 7, 5, 10,TBD, PhysicalPortGroup 2201, DOWN, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
91, CHN, TBD, 10.61.37.10, 7, 6, 11,TBD, PhysicalPortGroup 2202, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
92, CHN, TBD, 10.61.37.10, 7, 6, 12,TBD, PhysicalPortGroup 2202, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
93, CHN, TBD, 10.61.37.10, 8, 1, 1,TBD, PhysicalPortGroup 2195, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, Executer, Mon Oct 25 11:27:13 2010,None,2010-10-26 04:52:00
94, CHN, TBD, 10.61.37.10, 8, 1, 2,TBD, PhysicalPortGroup 2195, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, Executer, Mon Oct 25 11:27:13 2010,None,2010-10-26 04:52:00
95, CHN, TBD, 10.61.37.10, 8, 2, 3,TBD, PhysicalPortGroup 2196, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, Executer, Mon Oct 25 11:27:13 2010,None,2010-10-26 04:52:00
96, CHN, TBD, 10.61.37.10, 8, 2, 4,TBD, PhysicalPortGroup 2196, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, Executer, Mon Oct 25 11:27:13 2010,None,2010-10-26 04:52:00
97, CHN, TBD, 10.61.37.10, 9, 1, 1,TBD, PhysicalPortGroup 2193, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, ELiu, Mon Oct 25 11:36:24 2010,None,2010-10-26 04:52:00
98, CHN, TBD, 10.61.37.10, 9, 1, 2,TBD, PhysicalPortGroup 2193, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, ELiu, Mon Oct 25 11:36:24 2010,None,2010-10-26 04:52:00
99, CHN, TBD, 10.61.37.10, 9, 2, 3,TBD, PhysicalPortGroup 2194, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, PV-EL3, ELiu, Mon Oct 25 11:36:24 2010,None,2010-10-26 04:52:00
